"","category","links","scrape"
"311","键盘","list.jd.com/list.html?cat=670,686,689","Y"
"312","鼠标垫","list.jd.com/list.html?cat=670,686,826","Y"
"313","摄像头","list.jd.com/list.html?cat=670,686,692","Y"
"314","手写板","list.jd.com/list.html?cat=670,686,698","Y"
"315","硬盘盒","list.jd.com/list.html?cat=670,686,695","Y"
"316","插座","list.jd.com/list.html?cat=670,686,1047","Y"
"317","线缆","list.jd.com/list.html?cat=670,686,1049","Y"
"318","UPS电源","list.jd.com/list.html?cat=670,686,1048","Y"
"319","电脑工具","list.jd.com/list.html?cat=670,686,1050","Y"
"320","游戏设备","list.jd.com/list.html?cat=670,686,696","Y"
"321","电玩","list.jd.com/list.html?cat=670,686,697","Y"
"322","电脑清洁","list.jd.com/list.html?cat=670,686,1051","Y"
"323","网络仪表仪器","list.jd.com/list.html?cat=670,686,12799","Y"
"324","游戏机","list.jd.com/list.html?cat=670,12800,12801","Y"
"325","游戏耳机","list.jd.com/list.html?cat=670,12800,12802","Y"
"326","手柄/方向盘","list.jd.com/list.html?cat=670,12800,12803","Y"
"327","游戏软件","list.jd.com/list.html?cat=670,12800,12804","Y"
"328","游戏周边","list.jd.com/list.html?cat=670,12800,12805","Y"
"329","路由器","list.jd.com/list.html?cat=670,699,700","Y"
"330","网卡","list.jd.com/list.html?cat=670,699,701","Y"
"331","交换机","list.jd.com/list.html?cat=670,699,702","Y"
"332","网络存储","list.jd.com/list.html?cat=670,699,983","Y"
"333","4G/3G上网","list.jd.com/list.html?cat=670,699,1098","Y"
"334","网络盒子","list.jd.com/list.html?cat=670,699,11304","Y"
"335","网络配件","list.jd.com/list.html?cat=670,699,12370","Y"
"336","投影机","list.jd.com/list.html?cat=670,716,722","Y"
"337","投影配件","list.jd.com/list.html?cat=670,716,5010","Y"
"338","多功能一体机","list.jd.com/list.html?cat=670,716,720","Y"
"339","打印机","list.jd.com/list.html?cat=670,716,717","Y"
"340","传真设备","list.jd.com/list.html?cat=670,716,718","Y"
"341","验钞/点钞机","list.jd.com/list.html?cat=670,716,725","Y"
"342","扫描设备","list.jd.com/list.html?cat=670,716,721","Y"
"343","复合机","list.jd.com/list.html?cat=670,716,719","Y"
"344","碎纸机","list.jd.com/list.html?cat=670,716,723","Y"
"345","考勤机","list.jd.com/list.html?cat=670,716,724","Y"
"346","收款/POS机","list.jd.com/list.html?cat=670,716,7373","Y"
"347","会议音频视频","list.jd.com/list.html?cat=670,716,7375","Y"
"348","保险柜","list.jd.com/list.html?cat=670,716,2601","Y"
"349","装订/封装机","list.jd.com/list.html?cat=670,716,4839","Y"
"350","安防监控","list.jd.com/list.html?cat=670,716,7374","Y"
"351","办公家具","list.jd.com/list.html?cat=670,716,11221","Y"
"352","白板","list.jd.com/list.html?cat=670,716,727","Y"
"353","硒鼓/墨粉","list.jd.com/list.html?cat=670,729,730","Y"
"354","墨盒","list.jd.com/list.html?cat=670,729,731","Y"
"355","色带","list.jd.com/list.html?cat=670,729,733","Y"
"356","纸类","list.jd.com/list.html?cat=670,729,736","Y"
"357","办公文具","list.jd.com/list.html?cat=670,729,4837","Y"
"358","学生文具","list.jd.com/list.html?cat=670,729,1449","Y"
"359","财会用品","list.jd.com/list.html?cat=670,729,7372","Y"
"360","文件管理","list.jd.com/list.html?cat=670,729,4840","Y"
"361","本册/便签","list.jd.com/list.html?cat=670,729,7371","Y"
"362","计算器","list.jd.com/list.html?cat=670,729,728","Y"
"363","笔类","list.jd.com/list.html?cat=670,729,2603","Y"
"364","画具画材","list.jd.com/list.html?cat=670,729,12376","Y"
"365","刻录碟片/附件","list.jd.com/list.html?cat=670,729,4838","Y"
"366","上门安装","list.jd.com/list.html?cat=670,703,10011","Y"
"367","延保服务","list.jd.com/list.html?cat=670,703,10969","Y"
"368","维修保养","list.jd.com/list.html?cat=670,703,12429","Y"
"369","电脑软件","list.jd.com/list.html?cat=670,703,5011","Y"
"370","京东服务","list.jd.com/list.html?cat=670,703,1009","Y"
"371","炒锅","list.jd.com/list.html?cat=6196,6197,6199","Y"
"372","煎锅","list.jd.com/list.html?cat=6196,6197,6200","Y"
"373","压力锅","list.jd.com/list.html?cat=6196,6197,6201","Y"
"374","蒸锅","list.jd.com/list.html?cat=6196,6197,6202","Y"
"375","汤锅","list.jd.com/list.html?cat=6196,6197,6203","Y"
"376","奶锅","list.jd.com/list.html?cat=6196,6197,6204","Y"
"377","锅具套装","list.jd.com/list.html?cat=6196,6197,6205","Y"
"378","煲类","list.jd.com/list.html?cat=6196,6197,6206","Y"
"379","水壶","list.jd.com/list.html?cat=6196,6197,6207","Y"
